Detail,Player,Season,Team,AVG,G,AB,R,H,2B,3B,HR,RBI,TB,BB,IBB,HP,SO,SF,SH,SB,CS,OBP,SLG,OPS,E
-,"Wilson, Liam",PLAYOFFS 2022,Kitchener,.167,2,6,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,.286,.167,.452,0
-,"Wilson, Tyler",PLAYOFFS 2022,Brantford,.455,3,11,3,5,0,0,0,0,5,1,0,1,4,0,0,1,0,.538,.455,.993,0
*,"Wright, Taylor",PLAYOFFS 2022,London,.386,14,57,13,22,8,0,3,18,39,9,1,0,7,3,0,2,0,.449,.684,1.133,0
-,"Young, Jordan",PLAYOFFS 2022,Brantford,.111,3,9,0,1,0,0,0,0,1,3,0,0,4,0,0,0,0,.333,.111,.444,0
-,"Ambrogio, Connor",SUMMER 2022,London,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Anderson, James",SUMMER 2022,Barrie,.281,33,121,16,34,6,1,1,12,45,8,0,2,25,0,0,1,1,.336,.372,.708,4
-,"Ando, Royce",SUMMER 2022,Barrie,.263,14,57,11,15,5,0,1,5,23,6,1,0,5,1,0,0,0,.328,.404,.732,3
-,"Arias, Jose",SUMMER 2022,London,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Bak, Spencer",SUMMER 2022,Hamilton,.000,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.000,.000,1.000,0
*,"Barlas, Darius",SUMMER 2022,Guelph,.209,35,115,12,24,1,0,0,19,25,16,0,0,24,0,0,2,1,.305,.217,.523,5
-,"Barry, Lukas",SUMMER 2022,Guelph,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Bateman, Lucas",SUMMER 2022,Brantford,.257,10,35,3,9,1,0,0,5,10,4,0,0,11,0,1,0,0,.333,.286,.619,0
*,"Bonaccorso, Michael",SUMMER 2022,Hamilton,.000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Boon, Owen",SUMMER 2022,London,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1
-,"Boscarino, Luca",SUMMER 2022,Toronto,.241,21,83,20,20,1,0,1,11,24,14,0,1,17,1,0,3,1,.354,.289,.643,3
-,"Bowles, Kieran",SUMMER 2022,London,.244,27,45,12,11,0,0,0,6,11,6,0,3,6,0,0,1,0,.370,.244,.615,4
*,"Brown, Hogan",SUMMER 2022,Welland,.287,37,115,34,33,4,2,1,20,44,19,0,1,32,0,1,22,1,.393,.383,.775,2
-,"Brownlee, Cleveland",SUMMER 2022,London,.335,42,161,42,54,7,0,15,52,106,17,0,10,47,3,0,0,1,.424,.658,1.082,0
-,"Brownlee, Dalton",SUMMER 2022,Barrie,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Bruder, Gabe",SUMMER 2022,Brantford,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Buonaiuto, Anthony",SUMMER 2022,Hamilton,.277,21,65,8,18,2,0,0,15,20,6,0,2,10,1,0,1,0,.351,.308,.659,0
-,"Burdett, Nick",SUMMER 2022,Brantford,.309,39,136,18,42,5,0,5,18,62,14,0,5,25,0,0,0,0,.394,.456,.849,5
-,"Burns, Carson",SUMMER 2022,Barrie,.260,39,150,28,39,8,0,3,22,56,13,0,0,33,3,2,8,3,.313,.373,.687,7
*,"Burnside, Ryan",SUMMER 2022,Hamilton,.318,12,44,8,14,3,0,1,7,20,9,0,0,13,0,0,0,0,.434,.455,.889,3
*,"Carrington, Greg",SUMMER 2022,Toronto,.304,36,135,32,41,9,2,3,22,63,25,0,2,40,1,2,4,0,.417,.467,.884,3
-,"Carthy, Jorden",SUMMER 2022,Kitchener,.385,12,26,3,10,1,0,1,1,14,1,0,0,7,0,0,0,0,.407,.538,.946,2
*,"Castaldo, Jordan",SUMMER 2022,Toronto,.343,30,102,27,35,5,0,6,21,58,38,0,2,22,2,0,1,0,.521,.569,1.089,4
-,"Castro, Angel",SUMMER 2022,Toronto,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Cawker, Sam",SUMMER 2022,Welland,.348,36,141,44,49,13,0,5,38,77,22,0,6,32,3,0,12,1,.448,.546,.994,2
-,"Cerkownyk, Brady",SUMMER 2022,Toronto,.333,7,24,5,8,2,0,2,5,16,2,0,2,7,0,0,0,0,.429,.667,1.095,0
-,"Cina, Zarley",SUMMER 2022,Welland,.309,19,55,12,17,4,0,1,12,24,8,0,1,4,1,0,0,1,.400,.436,.836,3
-,"Colangelo, Aiden",SUMMER 2022,Brantford,.103,12,29,3,3,0,0,0,0,3,2,0,1,11,0,0,1,1,.188,.103,.291,3
-,"Colley, Brendan",SUMMER 2022,Barrie,.200,33,80,15,16,6,0,0,7,22,13,0,10,36,1,0,2,2,.375,.275,.650,7
-,"Collymore, Malik",SUMMER 2022,Guelph,.369,39,168,50,62,18,2,7,41,105,22,0,2,40,2,0,27,1,.443,.625,1.068,10
-,"Cote, Cole",SUMMER 2022,Welland,.222,5,9,2,2,1,0,0,2,3,1,0,1,3,0,0,0,0,.364,.333,.697,0
-,"Cote, Josh",SUMMER 2022,Barrie,.125,6,24,3,3,0,0,2,4,9,3,0,0,6,0,0,0,0,.222,.375,.597,1
-,"Custodio, Claudio",SUMMER 2022,Guelph,.404,13,47,9,19,3,1,0,8,24,0,0,1,8,0,2,3,0,.417,.511,.927,1
-,"Darroch, Jesse",SUMMER 2022,Hamilton,.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Davies, Nick",SUMMER 2022,Hamilton,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"DeGrace, Kyle",SUMMER 2022,Guelph,.240,6,25,2,6,2,0,0,6,8,1,0,1,5,0,0,0,0,.296,.320,.616,1
-,"Dei Baning, Dennis",SUMMER 2022,Hamilton,.409,6,22,8,9,0,0,4,8,21,4,0,1,11,1,0,7,0,.500,.955,1.455,0
-,"Devapalan, Josiah",SUMMER 2022,Hamilton,.250,7,20,4,5,1,0,0,0,6,3,0,0,8,0,0,0,0,.348,.300,.648,0
*,"Di Clemente, Kenny",SUMMER 2022,Kitchener,.324,18,68,21,22,5,1,0,9,29,12,0,1,11,1,0,0,0,.427,.426,.853,8
*,"Dos Santos, Ryan",SUMMER 2022,Toronto,.182,3,11,1,2,0,0,1,1,5,0,0,0,1,0,0,1,0,.182,.455,.636,0
-,"Duncan, Tyler",SUMMER 2022,Hamilton,.316,42,171,26,54,12,4,4,27,86,17,1,4,39,4,0,6,0,.383,.503,.886,1
-,"Dupuis, Tyler",SUMMER 2022,Welland,.342,28,114,32,39,13,4,0,24,60,16,0,1,19,1,0,26,5,.424,.526,.951,3
-,"Duwyn, Mike",SUMMER 2022,Barrie,.160,9,25,3,4,0,0,0,0,4,0,0,1,14,0,0,0,0,.192,.160,.352,1
-,"Dziomba, Jon",SUMMER 2022,Brantford,.347,17,72,9,25,4,0,2,11,35,0,0,2,9,0,1,3,1,.365,.486,.851,6
-,"Ellis, Owen",SUMMER 2022,Guelph,.500,3,6,1,3,1,0,0,0,4,1,0,1,1,0,0,0,0,.625,.667,1.292,0
-,"Familia, Juan",SUMMER 2022,Barrie,.219,25,96,17,21,4,0,3,12,34,10,0,2,41,0,0,4,0,.306,.354,.660,3
*,"Fernandez, Fernando",SUMMER 2022,London,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
*,"Fernandez, Jose",SUMMER 2022,Hamilton,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Ferrington, Braeden",SUMMER 2022,London,.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Filice, John",SUMMER 2022,Hamilton,.000,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,0
-,"Fishbaum, Jesse",SUMMER 2022,Brantford,.241,35,145,16,35,3,0,1,11,41,13,0,2,33,1,1,10,0,.311,.283,.593,4
-,"Fountain, Colton",SUMMER 2022,Brantford,.205,21,73,5,15,4,0,0,10,19,3,0,5,25,2,0,0,0,.277,.260,.537,2
-,"Fox-Pappas, Robin",SUMMER 2022,Hamilton,.098,24,61,5,6,2,0,0,4,8,7,0,2,19,0,0,0,0,.214,.131,.345,1
-,"Gallagher, Nolan",SUMMER 2022,Brantford,.155,21,58,5,9,1,0,0,2,10,10,0,0,26,0,0,2,1,.279,.172,.452,7
*,"Garton, Josh",SUMMER 2022,Guelph,.278,18,72,17,20,4,0,7,20,45,6,0,1,21,0,0,3,0,.342,.625,.967,0
-,"Gauthier, Robbie",SUMMER 2022,Kitchener,.228,25,79,19,18,7,0,2,12,31,16,0,5,22,1,0,0,0,.386,.392,.779,4
-,"Giancos, Tyler",SUMMER 2022,Hamilton,.079,24,63,6,5,0,0,1,2,8,7,0,2,27,1,0,0,0,.192,.127,.319,9
1,"Gideon, Justin",SUMMER 2022,Hamilton,.365,27,115,28,42,4,0,11,28,79,14,2,1,20,1,0,6,2,.435,.687,1.122,1
2,"Gideon, Justin",SUMMER 2022,Welland,.413,15,63,19,26,6,2,8,17,60,12,1,0,18,1,0,8,2,.500,.952,1.452,2
-,"Gomm, Tyson",SUMMER 2022,Welland,.077,17,13,3,1,1,0,0,2,2,4,0,0,5,1,0,0,0,.278,.154,.432,2
-,"Gore, Daniel",SUMMER 2022,London,.000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Gorecki, Andrew",SUMMER 2022,Brantford,.250,6,20,0,5,1,0,0,2,6,0,0,0,9,1,0,1,0,.238,.300,.538,0
-,"Grinberg, Simon",SUMMER 2022,Kitchener,.324,22,74,10,24,5,0,1,14,32,10,0,0,17,0,0,0,0,.405,.432,.837,4
*,"Hammond, Ethan",SUMMER 2022,Guelph,.345,38,139,32,48,11,0,3,39,68,23,0,2,24,5,0,6,1,.432,.489,.921,1
-,"Hauck, Christian",SUMMER 2022,Kitchener,.000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Hilderbrandt, Matt",SUMMER 2022,Welland,.331,34,118,19,39,8,0,6,36,65,14,0,3,32,1,0,0,0,.412,.551,.963,0
-,"Hillier, Brandon",SUMMER 2022,Barrie,.444,5,9,2,4,0,0,0,0,4,1,0,0,2,0,0,0,0,.500,.444,.944,0
-,"Hinrikus, Tyler",SUMMER 2022,Kitchener,.232,23,82,19,19,7,2,4,19,42,7,0,4,34,1,1,3,1,.319,.512,.831,5
-,"Hoover, Riley",SUMMER 2022,Barrie,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Howat, Danny",SUMMER 2022,Brantford,.000,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,.000,.000,.000,0
-,"Hrynkiw, Tony",SUMMER 2022,Guelph,.250,1,4,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,.400,.250,.650,0
-,"Infante, Branfy",SUMMER 2022,Barrie,.222,17,54,6,12,3,0,2,9,21,9,0,2,15,0,0,2,0,.354,.389,.743,3
*,"Interisano, Justin",SUMMER 2022,Guelph,.281,27,89,15,25,4,0,0,13,29,14,0,5,19,2,0,0,0,.400,.326,.726,3
*,"Jacklin, Blake",SUMMER 2022,Kitchener,.371,33,140,36,52,5,2,4,30,73,9,0,2,20,3,1,3,3,.409,.521,.931,1
-,"Jacober, Dylan",SUMMER 2022,Toronto,.000,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,3
-,"Jamieson, Spencer",SUMMER 2022,Brantford,.248,29,101,10,25,5,0,0,13,30,13,0,0,22,0,2,2,0,.333,.297,.630,7
-,"Jansen, Owen",SUMMER 2022,Barrie,.357,34,129,28,46,8,2,3,24,67,7,0,4,27,1,0,7,1,.404,.519,.924,8
-,"Jarvis, Jett",SUMMER 2022,Kitchener,.303,30,132,26,40,7,1,1,19,52,14,0,0,23,1,0,4,4,.367,.394,.761,2
-,"Jean, Luis",SUMMER 2022,Hamilton,.336,29,110,23,37,2,2,1,9,46,9,1,1,14,1,0,12,2,.388,.418,.807,6
-,"Joseph, Starling",SUMMER 2022,London,.351,42,168,45,59,13,0,9,38,99,13,0,5,46,1,0,7,3,.412,.589,1.001,3
-,"Kandel, Keith",SUMMER 2022,London,.297,38,145,35,43,12,1,3,21,66,15,0,1,29,1,3,11,1,.364,.455,.819,8
-,"Keen, Roger",SUMMER 2022,Brantford,.167,36,114,7,19,3,0,2,9,28,16,0,2,50,1,0,1,1,.278,.246,.524,2
*,"Keys, Brendan",SUMMER 2022,Guelph,.303,22,76,17,23,3,1,1,9,31,13,0,0,15,2,2,2,0,.396,.408,.803,1
-,"Khananisho, Nikko",SUMMER 2022,Toronto,.000,3,10,1,0,0,0,0,1,0,1,0,3,2,0,0,0,0,.286,.000,.286,1
-,"Knecht, Marcus",SUMMER 2022,Toronto,.343,9,35,9,12,2,1,1,6,19,6,0,3,10,1,0,0,0,.467,.543,1.010,1
-,"Kowara, Arthur",SUMMER 2022,Guelph,.000,4,4,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,.200,.000,.200,0
#,"Krzeminski, Gibson",SUMMER 2022,London,.260,27,96,21,25,9,0,1,19,37,12,0,2,27,2,0,0,1,.348,.385,.734,6
*,"Kush, Kyle",SUMMER 2022,Guelph,.184,23,76,13,14,3,0,0,7,17,11,0,3,24,0,0,2,0,.311,.224,.535,6
-,"Laird, Nathan",SUMMER 2022,Kitchener,.267,4,15,2,4,1,0,0,0,5,0,0,0,7,0,0,0,0,.267,.333,.600,0
-,"Lamb, Cooper",SUMMER 2022,Barrie,.333,1,6,2,2,0,0,0,0,2,0,0,0,3,0,0,0,0,.333,.333,.667,0
-,"Lawrence, Andrew",SUMMER 2022,London,.269,36,130,27,35,4,2,0,16,43,11,0,0,24,0,0,10,1,.326,.331,.657,1
-,"Leader, Andy",SUMMER 2022,Kitchener,.362,35,141,27,51,5,0,6,35,74,11,0,5,29,4,0,5,2,.416,.525,.941,1
-,"Leroux, Brando",SUMMER 2022,Guelph,.280,30,100,25,28,7,0,0,12,35,8,0,7,15,1,0,7,0,.371,.350,.721,11
-,"Lewington, Bo",SUMMER 2022,London,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1
-,"Lewis, Connor",SUMMER 2022,Toronto,.298,27,121,25,36,5,0,1,15,44,7,0,0,17,0,0,5,0,.336,.364,.700,1
-,"Lojko, Max",SUMMER 2022,Barrie,.000,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,.000,.000,.000,0
*,"Lui, Brian",SUMMER 2022,Brantford,.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,0
-,"Lupton, Jacob",SUMMER 2022,Brantford,.200,4,5,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,.333,.400,.733,0
-,"Lupton, Jaret",SUMMER 2022,Brantford,.167,10,36,3,6,1,0,0,0,7,1,0,0,10,0,2,0,0,.189,.194,.384,8
*,"MacLeod, Jeff",SUMMER 2022,Guelph,.226,19,53,8,12,1,0,2,7,19,4,0,3,16,1,0,0,1,.311,.358,.670,0
*,"Mackay, Brodie",SUMMER 2022,Brantford,.238,11,42,7,10,4,0,0,4,14,4,0,1,12,0,0,1,0,.319,.333,.652,0
-,"Mahoney, Dan",SUMMER 2022,Kitchener,.233,26,73,18,17,0,0,0,4,17,15,0,2,12,1,0,0,1,.374,.233,.607,0
-,"Marco, Greg",SUMMER 2022,Welland,.364,8,11,4,4,0,0,0,1,4,2,0,4,3,0,0,0,0,.588,.364,.952,1
*,"Marquez, Daniel",SUMMER 2022,Guelph,.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,0
-,"Marra, Adam",SUMMER 2022,Toronto,.000,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.000,.000,.000,0
-,"Marra, Dan",SUMMER 2022,Toronto,.340,26,100,22,34,3,0,2,19,43,19,0,1,12,2,1,4,3,.443,.430,.873,6
*,"Marra, Justin",SUMMER 2022,Toronto,.311,38,151,41,47,8,0,11,44,88,36,1,2,45,4,0,4,0,.440,.583,1.023,2
-,"Marsden, Keegan",SUMMER 2022,Kitchener,.268,38,142,24,38,9,1,5,32,64,15,0,3,27,5,0,0,0,.339,.451,.790,7
-,"Martin, Eric",SUMMER 2022,Kitchener,.367,8,30,9,11,1,0,5,13,27,3,0,1,7,0,0,0,0,.441,.900,1.341,1
-,"Matlow, Josh",SUMMER 2022,Barrie,.000,2,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,.200,.000,.200,0
*,"McAskie, Aidan",SUMMER 2022,Toronto,.300,28,110,24,33,5,0,6,29,56,18,0,4,32,0,0,1,0,.417,.509,.926,2
-,"McGarry-Doyle, Noel",SUMMER 2022,Barrie,.338,34,136,31,46,5,2,1,14,58,21,1,8,31,2,0,23,6,.449,.426,.876,2
*,"McLellan, Eric",SUMMER 2022,London,.000,3,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,.200,.000,.200,0
-,"McQueen, Chris",SUMMER 2022,London,.236,19,55,8,13,4,0,0,6,17,12,0,3,5,0,1,4,3,.400,.309,.709,5
-,"McQuinn, Brad",SUMMER 2022,Barrie,.263,18,38,2,10,1,0,1,4,14,2,0,2,9,0,0,2,2,.333,.368,.702,2
-,"Mercado, Nelson",SUMMER 2022,Guelph,.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,1
-,"Morello, Gianfranco",SUMMER 2022,Welland,.333,42,171,60,57,12,2,4,37,85,34,1,6,30,3,2,36,6,.453,.497,.950,1
*,"Morro, Conner",SUMMER 2022,Guelph,.374,26,99,32,37,11,2,7,28,73,15,0,3,13,4,1,5,1,.455,.737,1.192,7
-,"Muir, Aidan",SUMMER 2022,Hamilton,.190,10,21,1,4,0,0,0,1,4,2,0,0,7,0,0,0,0,.261,.190,.451,0
-,"Mullen, Robert",SUMMER 2022,London,.405,42,163,47,66,14,0,15,50,125,23,0,7,17,1,0,0,0,.495,.767,1.262,10
*,"Nahrabeki, Stephen",SUMMER 2022,Kitchener,.256,13,43,11,11,2,0,0,5,13,7,0,2,7,0,0,0,0,.385,.302,.687,0
*,"Newton, Jakob",SUMMER 2022,London,.366,33,131,42,48,9,4,7,33,86,9,0,7,15,1,0,8,1,.432,.656,1.089,10
-,"Nicholson, Brandon",SUMMER 2022,Welland,.298,42,181,44,54,12,4,3,46,83,21,0,5,43,4,0,48,5,.379,.459,.838,4
-,"Niles, Josh",SUMMER 2022,Hamilton,.278,36,144,27,40,6,0,5,18,61,15,0,7,34,2,0,3,2,.369,.424,.793,7
*,"Noronha, Glenn",SUMMER 2022,Toronto,.111,3,9,0,1,0,0,0,0,1,2,0,0,3,0,0,0,0,.273,.111,.384,0
-,"Odd, Adam",SUMMER 2022,Barrie,.328,17,61,4,20,4,0,1,8,27,5,0,0,10,0,0,0,0,.379,.443,.821,3
-,"Orozco, Jamiel",SUMMER 2022,Brantford,.295,15,61,10,18,4,0,2,9,28,4,0,1,14,0,0,2,1,.348,.459,.808,6
#,"Osika, Tristan",SUMMER 2022,Hamilton,.252,32,127,19,32,5,1,3,16,48,7,0,4,31,1,2,6,0,.309,.378,.687,6
-,"Parks, Dawson",SUMMER 2022,Toronto,.200,12,25,5,5,1,0,0,3,6,1,0,0,10,0,0,1,0,.231,.240,.471,1
-,"Patterson, Ashton",SUMMER 2022,Guelph,.440,18,25,5,11,1,1,0,4,14,6,0,2,7,1,1,4,1,.559,.560,1.119,0
-,"Paulos, Ethan",SUMMER 2022,Brantford,.000,4,7,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,.000,.000,.000,0
-,"Perrier, Daniel",SUMMER 2022,London,.378,32,90,21,34,5,0,7,31,60,3,0,2,26,0,0,2,0,.411,.667,1.077,3
-,"Peters, Corben",SUMMER 2022,Hamilton,.000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,0
-,"Pettener, Sean",SUMMER 2022,Hamilton,.296,24,71,10,21,3,0,0,9,24,8,0,7,21,0,0,5,0,.419,.338,.757,7
-,"Plumpton, Tyler",SUMMER 2022,Barrie,.351,23,74,12,26,1,0,0,13,27,5,0,6,8,1,2,0,0,.430,.365,.795,1
-,"Polson, David",SUMMER 2022,Kitchener,.233,11,30,5,7,1,0,0,5,8,5,0,0,9,0,0,2,0,.343,.267,.610,2
-,"Pomerleau, Brady",SUMMER 2022,Brantford,.053,6,19,2,1,0,0,0,0,1,2,0,1,13,0,0,0,0,.182,.053,.234,4
#,"Pompey, Dalton",SUMMER 2022,Guelph,.381,30,118,43,45,9,1,5,22,71,29,0,0,18,1,0,13,0,.500,.602,1.102,4
*,"Porcellato, Matteo",SUMMER 2022,Welland,.312,38,141,46,44,13,3,4,46,75,30,0,5,29,3,1,27,4,.441,.532,.973,7
-,"Ramey, Braydin",SUMMER 2022,Brantford,.100,3,10,0,1,0,0,0,0,1,2,0,0,4,0,0,0,0,.250,.100,.350,1
-,"Reichstein, Byron",SUMMER 2022,London,.299,19,67,19,20,4,1,2,12,32,12,0,0,17,1,0,0,0,.400,.478,.878,1
-,"Reid, Brett",SUMMER 2022,Kitchener,.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,2
-,"Reid, Jacob",SUMMER 2022,Hamilton,.500,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.500,.500,1.000,0
-,"Reilly, Sean",SUMMER 2022,Guelph,.298,26,94,18,28,6,0,3,15,43,18,3,7,21,0,0,3,0,.445,.457,.903,0
-,"Renaud, Laine",SUMMER 2022,Hamilton,.272,36,147,23,40,9,2,5,26,68,9,0,4,47,2,0,5,2,.327,.463,.790,8
-,"Richardson, Dustin",SUMMER 2022,Toronto,.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,0
-,"Rijo, Ryan",SUMMER 2022,Barrie,.304,34,138,16,42,5,0,6,28,65,8,0,2,31,0,0,0,0,.351,.471,.822,1
-,"Roberts, Noah",SUMMER 2022,Guelph,.234,24,77,10,18,4,0,4,16,34,10,0,0,17,0,1,0,0,.322,.442,.763,2
-,"Robertson, Adam",SUMMER 2022,Kitchener,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Romanin, Mattingly",SUMMER 2022,Welland,.400,14,55,16,22,4,0,0,12,26,4,0,1,8,1,0,0,1,.443,.473,.915,0
-,"Rossel, Aidan",SUMMER 2022,Barrie,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Russell, Julian",SUMMER 2022,Hamilton,.000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Ryan, Evan",SUMMER 2022,Brantford,.233,20,60,2,14,3,0,1,10,20,3,0,0,25,1,0,0,0,.266,.333,.599,4
*,"Sanford, Bryn",SUMMER 2022,Hamilton,.091,11,11,2,1,0,0,0,0,1,3,0,0,8,0,0,0,0,.286,.091,.377,1
-,"Scragg, Nathan",SUMMER 2022,Hamilton,.100,14,40,1,4,0,0,0,2,4,1,0,1,8,1,0,0,1,.140,.100,.240,1
-,"Sewell, Brian",SUMMER 2022,Guelph,.429,6,14,4,6,1,0,0,3,7,1,0,2,4,0,0,2,0,.529,.500,1.029,0
-,"Seymour, Ethan",SUMMER 2022,Hamilton,.333,3,6,2,2,1,0,0,0,3,0,0,0,4,0,0,0,0,.333,.500,.833,0
-,"Shantz, Grant",SUMMER 2022,Kitchener,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1
*,"Shepherd, Dylan",SUMMER 2022,Barrie,.500,2,4,1,2,0,0,1,1,5,0,0,1,1,0,0,0,0,.600,1.250,1.850,0
-,"Sherman, Evyn",SUMMER 2022,Kitchener,.222,19,54,8,12,1,0,1,7,16,5,0,0,13,1,2,0,0,.283,.296,.580,4
-,"Shred, Darren",SUMMER 2022,Guelph,.000,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.000,.000,.000,1
-,"Sloat, Dreyden",SUMMER 2022,Kitchener,.220,24,50,12,11,1,0,1,5,15,10,0,4,23,0,0,2,0,.391,.300,.691,2
*,"Smibert, James",SUMMER 2022,Welland,.340,33,150,34,51,20,1,6,40,91,5,0,2,33,5,0,4,0,.358,.607,.965,13
*,"Solazzo, Johnathan",SUMMER 2022,Toronto,.333,38,156,34,52,11,0,9,47,90,23,0,1,30,3,0,1,1,.415,.577,.992,17
-,"Soules, Evan",SUMMER 2022,Barrie,.000,7,4,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,.333,.000,.333,1
-,"Strecker, Stefan",SUMMER 2022,Hamilton,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Sutherland, Liam",SUMMER 2022,Brantford,.311,36,135,21,42,12,0,2,12,60,9,0,3,25,2,0,10,1,.362,.444,.807,4
1*,"Tani, Chris",SUMMER 2022,Welland,.200,1,5,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,.200,.200,.400,1
2,"Tani, Chris",SUMMER 2022,Hamilton,.167,1,6,1,1,0,0,0,1,1,0,0,0,2,0,0,1,0,.167,.167,.333,0
-,"Underhill, Brandon",SUMMER 2022,Welland,.214,8,14,2,3,1,0,0,1,4,3,0,0,6,0,0,0,0,.353,.286,.639,1
*,"Underwood, Jacob",SUMMER 2022,Hamilton,.145,22,55,6,8,2,0,1,8,13,5,0,0,8,1,0,0,0,.213,.236,.449,4
-,"Van Raay, Maclean",SUMMER 2022,Hamilton,.556,2,9,2,5,1,1,0,4,8,0,0,0,2,0,0,0,0,.556,.889,1.444,0
-,"Veilleux, Jeremie",SUMMER 2022,Hamilton,.264,33,106,15,28,5,0,1,15,36,13,0,4,28,1,2,4,0,.363,.340,.703,6
-,"Vetrone, Joe",SUMMER 2022,Welland,.250,1,4,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,.250,.250,.500,0
#,"Vinicio, Jose",SUMMER 2022,Toronto,.267,37,172,40,46,7,0,1,22,56,16,0,4,26,2,0,27,4,.340,.326,.666,10
*,"Wagner, Mike",SUMMER 2022,Welland,.171,11,35,4,6,0,0,0,2,6,3,0,0,3,1,1,1,1,.231,.171,.402,2
-,"Whalen, Stephen",SUMMER 2022,Kitchener,.302,34,129,25,39,4,2,4,31,59,9,0,2,21,2,0,3,2,.352,.457,.809,9
-,"Whelan, Phil",SUMMER 2022,London,.208,35,77,13,16,5,0,2,16,27,12,0,1,24,1,0,1,2,.319,.351,.669,2
-,"Wilkie, Austin",SUMMER 2022,London,.286,31,112,25,32,6,1,6,24,58,8,0,5,24,0,1,4,1,.360,.518,.878,3
-,"Williams, J.D.",SUMMER 2022,Guelph,.341,29,126,30,43,12,3,3,31,70,18,0,3,29,2,0,12,1,.430,.556,.985,2
-,"Williams, Malik",SUMMER 2022,Barrie,.357,14,56,12,20,4,0,4,16,36,5,0,2,11,2,0,0,0,.415,.643,1.058,2
-,"Wilson, Jake",SUMMER 2022,Barrie,.316,34,136,26,43,5,2,2,20,58,23,0,2,19,1,1,8,4,.420,.426,.846,0
